pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
103.0625,-86.531509,-90.0,top,C1,,,C_1206_3216Metric,10 µF,smt
124.725,-72.806509,0.0,top,C10,,,C_0603_1608Metric,10nF,smt
160.875,-81.606509,0.0,top,C11,,,C_1206_3216Metric,4.7µF,smt
165.35,-87.606509,0.0,top,C13,,,C_1206_3216Metric,1µF,smt
176.85,-83.606509,0.0,top,C14,,,C_0603_1608Metric,100nF,smt
163.6,-98.506509,90.0,top,C15,,,C_0603_1608Metric,12pF,smt
163.9,-103.906509,90.0,top,C16,,,C_0603_1608Metric,12pF,smt
177.85,-76.106509,180.0,top,C17,,,C_0603_1608Metric,2.2pF,smt
171.35,-76.831509,90.0,top,C18,,,C_0603_1608Metric,4.7pF,smt
177.85,-74.106509,180.0,top,C19,,,C_0603_1608Metric,1pF,smt
152.25,-58.956509,90.0,bottom,C2,,,C_0603_1608Metric,100nF,smt
169.35,-76.831509,-90.0,top,C20,,,C_0603_1608Metric,15pF,smt
168.85,-93.081509,90.0,top,C21,,,C_1206_3216Metric,4.7µF,smt
165.35,-79.106509,180.0,top,C22,,,C_1206_3216Metric,4.7µF,smt
152.25,-104.706509,90.0,bottom,C23,,,C_0603_1608Metric,100nF,smt
152.2,-98.306509,90.0,bottom,C24,,,C_0603_1608Metric,100nF,smt
152.25,-91.606509,90.0,bottom,C25,,,C_0603_1608Metric,100nF,smt
152.25,-85.006509,90.0,bottom,C26,,,C_0603_1608Metric,100nF,smt
152.3,-78.906509,90.0,bottom,C27,,,C_0603_1608Metric,100nF,smt
152.25,-72.556509,90.0,bottom,C28,,,C_0603_1608Metric,100nF,smt
152.25,-65.606509,90.0,bottom,C29,,,C_0603_1608Metric,100nF,smt
102.25,-80.206509,-90.0,top,C3,,,C_0603_1608Metric,0.1uF,smt
135.55,-59.106509,-90.0,bottom,C30,,,C_0603_1608Metric,100nF,smt
135.5,-65.456509,-90.0,bottom,C31,,,C_0603_1608Metric,100nF,smt
135.5,-72.156509,-90.0,bottom,C32,,,C_0603_1608Metric,100nF,smt
135.55,-79.056509,-90.0,bottom,C33,,,C_0603_1608Metric,100nF,smt
135.55,-84.756509,-90.0,bottom,C34,,,C_0603_1608Metric,100nF,smt
135.55,-91.356509,-90.0,bottom,C35,,,C_0603_1608Metric,100nF,smt
135.55,-97.906509,-90.0,bottom,C36,,,C_0603_1608Metric,100nF,smt
135.55,-104.306509,-90.0,bottom,C37,,,C_0603_1608Metric,100nF,smt
171.35,-93.081509,90.0,top,C38,,,C_1206_3216Metric,4.7µF,smt
171.85,-88.881509,90.0,top,C39,,,C_0603_1608Metric,100nF,smt
111.8,-85.756509,-90.0,top,C4,,,C_1206_3216Metric,22 uF,smt
169.85,-88.606509,90.0,top,C40,,,C_0603_1608Metric,100nF,smt
164.85,-82.106509,0.0,top,C41,,,C_0603_1608Metric,100nF,smt
165.35,-90.106509,180.0,top,C42,,,C_1206_3216Metric,1µF,smt
114.95,-85.806509,-90.0,top,C5,,,C_1206_3216Metric,22 uF,smt
